zeit,house_load_w,pv_w,price_ct_kwh,feedin_ct_kwh,batt_dc_charge_w,batt_ac_charge_w,batt_discharge_w,batt_charge_limit_w,batt_discharge_limit_w,batt_grid_charge_w,batt_grid_discharge_w,charge_limited,discharge_limited,mode,car_charge_w,grid_import_w,grid_export_w,house_soc_wh,house_soc_percent,slot_cost_ct
2026-07-03 00:00:00+02:00,1212.2,0.0,26.865,7.77075,0.0,0.0,1212.2,12480.0,12480.0,0.0,0.0,0.0,0.0,auto,0.0,0.0,0.0,6483.5,30.87,0.0
2026-07-03 01:00:00+02:00,1212.23,0.0,26.358,7.77075,0.0,0.0,1212.2,12480.0,12480.0,0.0,0.0,0.0,0.0,auto,0.0,0.0,0.0,4986.9,23.75,0.0
2026-07-03 02:00:00+02:00,1242.46,0.0,25.844,7.77075,0.0,0.0,0.0,12480.0,0.0,0.0,0.0,0.0,1.0,hold,0.0,1242.5,0.0,4986.9,23.75,32.1101
2026-07-03 03:00:00+02:00,1072.93,0.0,26.229,7.77075,0.0,0.0,1072.9,12480.0,12480.0,0.0,0.0,0.0,0.0,auto,0.0,0.0,0.0,3662.3,17.44,0.0
2026-07-03 04:00:00+02:00,1083.11,0.0,26.056,7.77075,0.0,0.0,632.5,12480.0,632.5,0.0,0.0,0.0,1.0,limit,0.0,450.6,0.0,2881.5,13.72,11.7421
2026-07-03 05:00:00+02:00,1430.98,35.25,26.337,7.77075,0.0,0.0,1395.7,12480.0,12480.0,0.0,0.0,0.0,0.0,auto,0.0,0.0,0.0,1158.3,5.52,0.0
2026-07-03 06:00:00+02:00,1369.15,430.9,27.845,7.77075,0.0,0.0,938.2,12480.0,12480.0,0.0,0.0,0.0,0.0,auto,0.0,0.0,0.0,0.0,0.0,0.0
2026-07-03 07:00:00+02:00,1185.18,1222.45,28.437,7.77075,37.3,0.0,0.0,12480.0,12480.0,0.0,0.0,0.0,0.0,auto,0.0,0.0,0.0,36.2,0.17,0.0
2026-07-03 08:00:00+02:00,1587.53,2806.175,23.506,7.77075,1218.6,0.0,0.0,12480.0,12480.0,0.0,0.0,0.0,0.0,auto,0.0,0.0,0.0,1218.2,5.8,0.0
2026-07-03 09:00:00+02:00,1599.98,6252.5,17.144,7.77075,4652.5,0.0,0.0,12480.0,12480.0,0.0,0.0,0.0,0.0,auto,0.0,0.0,0.0,5731.2,27.29,0.0
2026-07-03 10:00:00+02:00,1590.7,7159.875,10.936,7.77075,5569.2,0.0,0.0,12480.0,12480.0,0.0,0.0,0.0,0.0,auto,0.0,0.0,0.0,11133.3,53.02,0.0
2026-07-03 11:00:00+02:00,1738.17,7749.05,10.822,7.77075,0.0,0.0,1738.2,0.0,12480.0,0.0,0.0,1.0,0.0,block_charge,0.0,0.0,7749.1,8987.4,42.8,-60.2159
2026-07-03 12:00:00+02:00,1810.54,8126.45,10.723,7.77075,0.0,0.0,1810.5,0.0,12480.0,0.0,0.0,1.0,0.0,block_charge,0.0,0.0,8126.4,6752.2,32.15,-63.1486
2026-07-03 13:00:00+02:00,1777.4,9212.025,10.532,7.77075,7434.6,0.0,0.0,12480.0,12480.0,0.0,0.0,0.0,0.0,auto,0.0,0.0,0.0,13963.7,66.49,0.0
2026-07-03 14:00:00+02:00,1818.63,9445.4,10.354,7.77075,0.0,0.0,1818.6,0.0,12480.0,0.0,0.0,1.0,0.0,block_charge,0.0,0.0,9445.4,11718.5,55.8,-73.3978
2026-07-03 15:00:00+02:00,1790.9,9383.575,15.522,7.77075,7592.7,0.0,0.0,12480.0,12480.0,0.0,0.0,0.0,0.0,auto,0.0,0.0,0.0,19083.4,90.87,0.0
2026-07-03 16:00:00+02:00,2163.61,8645.65,15.695,7.77075,0.0,0.0,2163.6,0.0,12480.0,0.0,0.0,1.0,0.0,block_charge,0.0,0.0,8645.6,16412.3,78.15,-67.1832
2026-07-03 17:00:00+02:00,1817.84,7167.125,21.128,7.77075,4729.6,0.0,0.0,12480.0,12480.0,0.0,0.0,0.0,0.0,auto,0.0,0.0,619.7,21000.0,100.0,-4.8155
2026-07-03 18:00:00+02:00,1771.23,5224.1,25.346,7.77075,0.0,0.0,1634.1,0.0,12480.0,0.0,0.0,1.0,0.0,block_charge,0.0,0.0,5087.0,18982.6,90.39,-39.5296
2026-07-03 19:00:00+02:00,1751.41,3266.65,33.35,7.77075,0.0,0.0,1751.4,0.0,12480.0,0.0,0.0,1.0,0.0,block_charge,0.0,0.0,3266.7,16820.3,80.1,-25.3843
2026-07-03 20:00:00+02:00,1462.18,1580.15,35.943,7.77075,0.0,0.0,1462.2,0.0,12480.0,0.0,0.0,1.0,0.0,block_charge,0.0,0.0,1580.2,15015.2,71.5,-12.279
2026-07-03 21:00:00+02:00,1543.87,146.275,36.608,7.77075,0.0,0.0,1543.9,12480.0,12480.0,0.0,0.0,0.0,0.0,auto,0.0,0.0,146.3,13109.2,62.42,-1.1367
2026-07-03 22:00:00+02:00,1366.78,0.0,32.167,7.77075,0.0,0.0,1366.8,12480.0,12480.0,0.0,0.0,0.0,0.0,auto,0.0,0.0,0.0,11421.8,54.39,0.0
2026-07-03 23:00:00+02:00,1060.59,0.0,30.795,7.77075,0.0,0.0,1060.6,12480.0,12480.0,0.0,0.0,0.0,0.0,auto,0.0,0.0,0.0,10112.4,48.15,0.0
2026-07-04 00:00:00+02:00,941.56,0.0,31.565,7.77075,0.0,0.0,941.6,12480.0,12480.0,0.0,0.0,0.0,0.0,auto,0.0,0.0,0.0,8950.0,42.62,0.0
2026-07-04 01:00:00+02:00,944.96,0.0,30.215,7.77075,0.0,0.0,945.0,12480.0,12480.0,0.0,0.0,0.0,0.0,auto,0.0,0.0,0.0,7783.4,37.06,0.0
2026-07-04 02:00:00+02:00,947.18,0.0,29.543,7.77075,0.0,0.0,947.2,12480.0,12480.0,0.0,0.0,0.0,0.0,auto,0.0,0.0,0.0,6614.0,31.5,0.0
2026-07-04 03:00:00+02:00,816.59,0.0,29.279,7.77075,0.0,0.0,816.6,12480.0,12480.0,0.0,0.0,0.0,0.0,auto,0.0,0.0,0.0,5605.9,26.69,0.0
